id;name;lon;lat;kwds
N3999121699;Leo-Baeck-Straße;13.2638755;52.4218276;transport,busstop
N3999121700;Leo-Baeck-Straße;13.2637210;52.4222322;transport,busstop
N3999121701;Nuthestraße;13.2537461;52.4038568;transport,busstop
N3999121704;Schweizerhofpark;13.2627377;52.4240795;transport,busstop
N3999121705;Schweizerhofpark;13.2626429;52.4241869;transport,busstop
N3999121707;Striewitzweg;13.2554856;52.4017832;transport,busstop
N3999188189;Bürknersfelder Straße Ost;13.5265872;52.5414081;transport,busstop
N3999188190;Bürknersfelder Straße West;13.5231130;52.5411231;transport,busstop
N3999188191;Grenzgrabenstraße;13.5208281;52.5445979;transport,busstop
N3999188192;Leuenberger Straße;13.5046689;52.5464738;transport,busstop
N3999188193;Leuenberger Straße;13.5035732;52.5465222;transport,busstop
N3999188194;Plauener Straße/Marzahner Straße;13.5172062;52.5463461;transport,busstop
N3999188195;Plauener Straße/Marzahner Straße;13.5185855;52.5463491;transport,busstop
N3999188196;Rhinstraße/Gärtnerstraße;13.5104355;52.5464298;transport,busstop
N3999188197;Seehausener Straße;13.5242053;52.5618669;transport,busstop
N3999188198;Seehausener Straße;13.5245626;52.5620372;transport,busstop
N3999188199;Vincent-van-Gogh-Straße;13.5250819;52.5645016;transport,busstop
N3999188200;Vincent-van-Gogh-Straße;13.5242391;52.5651716;transport,busstop
N3999188201;Wassergrundstraße;13.5260933;52.5444502;transport,busstop
N3999188202;Zu den Krugwiesen;13.5251932;52.5592126;transport,busstop
N4000237757;U Osloer Straße;13.3705747;52.5567650;transport,busstop
N4000254125;S+U Pankow;13.4121181;52.5676241;transport,busstop
N4000254126;Schwarzelfenweg;13.4653322;52.5672941;transport,busstop
N4000257068;An den Siedlergärten;13.6311474;52.5297630;transport,busstop
N4000257069;Wacholderheide;13.6389283;52.5290921;transport,busstop
N4000432565;Las Leñas;13.3881185;52.4986206;food,restaurant
N4000535335;Kaffee-Service Berlin Peter Ganss GmbH;13.3634085;52.4896757;shop,departmentstore
N4000734460;I♥Nails;13.3073338;52.4999438;shop,hairdresser
